# Physical parameters - FIXME!!! These were copied straght from NaCaAlF!!!
# sigma_coh 70.890  coherent scattering cross section for Na2Ca3Al2F14 in [barn]
# sigma_inc 3.4176  incoherent scattering cross section for Na2Ca3Al2F14 in [barn]
# sigma_abs 2.9464  absorption scattering cross section for Na2Ca3Al2F14 in [barn]
# density   2.99    in [g/cm^3]
# weight    486.15  in [g/mol] for Na2Ca3Al2F14
# multiplicity 4    in [Na2Ca3Al2F14/unit cell]
# Vc        1079.1  volume of unit cell in [A^3]
#
#
#column_j 10
#column_d 4 
#column_F 7
#  h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   1    1    1   4.820875   162.031924    -0.000000      162.032    5.94513   75.28129    8
   2    2    0   2.952171  -249.834940     0.000000      249.835    9.71564  100.00000   12
   3    1    1   2.517620   192.694076    -0.000000      192.694   11.39774   86.18093   24
   2    2    2   2.410437    38.765158     0.000000      38.7652   11.90635    1.06430    8
   4    0    0   2.087500  -201.194428     0.000000      201.194   13.75656   16.04030    6
   3    3    1   1.915621  -147.952101     0.000000      147.952   14.99766   29.10099   24
   4    2    2   1.704437   228.388423    -0.000000      228.388   16.86869   54.53287   24
   3    3    3   1.606958  -175.574275     0.000000      175.574   17.90011    9.51092    8
   5    1    1   1.606958  -177.047358     0.000000      177.047   17.90011   29.01355   24
   4    4    0   1.476085   253.883587     0.000000      253.884   19.50202   25.00273   12
   5    3    1   1.411408  -133.507246     0.000000      133.507   20.40505   25.18491   48
   4    4    2   1.391667    -2.163353     0.000000      2.16335   20.69767    0.00321   24
   6    2    0   1.320251   208.556769    -0.000000      208.557   21.83063   26.71043   24
   5    3    3   1.273363   164.355304    -0.000000      164.355   22.64491   15.36983   24
   6    2    2   1.258810    32.460772     0.000000      32.4608   22.91024    0.58514   24
   4    4    4   1.205219  -166.213019     0.000000      166.213   23.94372    4.66308    8
   5    5    1   1.169234   123.322546    -0.000000      123.323   24.69206    7.21948   24
   7    1    1   1.169234  -121.564864     0.000000      121.565   24.69206    7.01515   24
   6    4    2   1.115816  -190.831561     0.000000      190.832   25.89420   31.28112   48
   5    5    3   1.087077   145.685089    -0.000000      145.685   26.59113    8.61810   24
   7    3    1   1.087077   149.506738    -0.000000      149.507   26.59113   18.15236   48
   8    0    0   1.043750   213.337055     0.000000      213.337   27.71654    4.23145    6
   7    3    3   1.020115   108.485236    -0.000000      108.485   28.37199    4.16453   24
   6    4    4   1.012586     5.612323    -0.000000      5.61232   28.58741    0.01097   24
   8    2    2   0.984057  -173.863345     0.000000      173.863   29.43464    9.88922   24
   6    6    0   0.984057  -174.434589     0.000000      174.435   29.43464    4.97716   12
   5    5    5   0.964175  -141.735963     0.000000      141.736   30.05576    2.09493    8
   7    5    1   0.964175   135.047383    -0.000000      135.047   30.05576   11.41122   48
   6    6    2   0.957811    34.395538     0.000000      34.3955   30.26023    0.36477   24
   8    4    0   0.933558  -136.451501     0.000000      136.452   31.06591    5.42568   24
   7    5    3   0.916532  -105.287062     0.000000      105.287   31.65803    6.20315   48
   9    1    1   0.916532   100.727005    -0.000000      100.727   31.65803    2.83873   24
   8    4    2   0.911060     3.478126    -0.000000      3.47813   31.85320    0.00668   48
   6    6    4   0.890113   159.763566    -0.000000      159.764   32.62346    6.69264   24
   9    3    1   0.875318   123.620153     0.000000       123.62   33.19069    7.72015   48
   8    4    4   0.852218   180.647094     0.000000      180.647   34.11749    7.76396   24
   7    5    5   0.839207   -85.995223     0.000000      85.9952   34.66308    1.69962   24
   7    7    1   0.839207   -93.798203     0.000000      93.7982   34.66308    2.02206   24
   9    3    3   0.839207   -94.491388     0.000000      94.4914   34.66308    2.05205   24
   8    6    2   0.818785   145.722873    -0.000000      145.723   35.55610    9.23307   48
  10    2    0   0.818785  -144.240853     0.000000      144.241   35.55610    4.52311   24
   9    5    1   0.807225  -116.125662     0.000000      116.126   36.08266    5.67749   48
   7    7    3   0.807225  -109.981426     0.000000      109.981   36.08266    2.54629   24
   6    6    6   0.803479    16.518636     0.000000      16.5186   36.25672    0.01895    8
  10    2    2   0.803479    28.995882     0.000000      28.9959   36.25672    0.17513   24
   9    5    3   0.778642   -79.021567     0.000000      79.0216   37.45553    2.42174   48
   8    6    4   0.775278    -9.023353     0.000000      9.02335   37.62412    0.03127   48
  10    4    2   0.762247   132.270340     0.000000       132.27   38.29214    6.46218   48
  11    1    1   0.752894   103.583015    -0.000000      103.583   38.78674    1.92604   24
   7    7    5   0.752894   113.720964    -0.000000      113.721   38.78674    2.32151   24
   8    8    0   0.738043   152.537569     0.000000      152.538   39.59949    1.99450   12
  11    3    1   0.729543   -75.862018     0.000000       75.862   40.08052    1.92102   48
   9    5    5   0.729543    83.193585    -0.000000      83.1936   40.08052    1.15514   24
   9    7    1   0.729543   -74.063404     0.000000      74.0634   40.08052    1.83101   48
   8    8    2   0.726774    -5.592043     0.000000      5.59204   40.23979    0.00517   24
  10    4    4   0.726774    -6.986918     0.000000      6.98692   40.23979    0.00808   24
   8    6    6   0.716007  -122.388275     0.000000      122.388   40.87174    2.39342   24
  10    6    0   0.716007   121.186257    -0.000000      121.186   40.87174    2.34664   24
  11    3    3   0.708238   -92.778566     0.000000      92.7786   41.34046    1.34085   24
   9    7    3   0.708238   102.512526    -0.000000      102.513   41.34046    3.27392   48
  10    6    2   0.705704    19.063309     0.000000      19.0633   41.49574    0.11227   48
